BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
MANDASA,Cereals,2013,11,8,"Paddy Dhan",SRIKAKULAM,nan,nan,AGRICULTURE,"ANDHRA PRADESH","false smut","carbendizim 3gmlit",18.2949,83.8939
MANDASA,Cereals,2013,11,8,"Paddy Dhan",SRIKAKULAM,nan,nan,AGRICULTURE,"ANDHRA PRADESH","false smut and bph","CARBENDAZIM BAVISTIN DEROSAL CARBENDAZIM 200 GRAMS PER ACRE   30933134312031493116314230743105310031353074 3116313431253135312831493103313531123149  31053143312031473128313431223149 30933134312031493116314230743105310031353074    308630933120313430933137 200 30953149312031343118313731223137 200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135 and glamour 50gac",18.2949,83.8939
GARUGUBILLI,Cereals,2013,10,21,"Paddy Dhan",VIZIANAGARM,nan,nan,AGRICULTURE,"ANDHRA PRADESH","false smut","CARBENDAZIM BAVISTIN DEROSAL CARBENDAZIM 200 GRAMS PER ACRE   30933134312031493116314230743105310031353074 3116313431253135312831493103313531123149  31053143312031473128313431223149 30933134312031493116314230743105310031353074    308630933120313430933137 200 30953149312031343118313731223137 200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",15.9241,80.1864
GARUGUBILLI,Cereals,2013,11,12,"Paddy Dhan",VIZIANAGARM,nan,nan,AGRICULTURE,"ANDHRA PRADESH","false smut","carbendizim  3gmlit",15.9241,80.1864
ANANTHAGIRI,Cereals,2013,11,20,"Paddy Dhan",VISAKHAPATNAM,nan,nan,AGRICULTURE,"ANDHRA PRADESH","false smut","tilt 1 mlL water",17.6936,83.2921
JAGGAMPETA,Cereals,2013,11,11,"Paddy Dhan","EAST GODAVARI",nan,nan,AGRICULTURE,"ANDHRA PRADESH","false smut","tilt 1 mlL",16.9957,81.7154
ATREYAPURAM,Cereals,2013,12,6,"Paddy Dhan","EAST GODAVARI",nan,nan,AGRICULTURE,"ANDHRA PRADESH","false smut","CARBENDAZIM BAVISTIN DEROSAL CARBENDAZIM 200 GRAMS PER ACRE   30933134312031493116314230743105310031353074 3116313431253135312831493103313531123149  31053143312031473128313431223149 30933134312031493116314230743105310031353074    308630933120313430933137 200 30953149312031343118313731223137 200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",16.9957,81.7154
ELAMANCHILI,Cereals,2013,10,29,"Paddy Dhan","WEST GODAVARI","Plant Protection",nan,AGRICULTURE,"ANDHRA PRADESH","false smut","COPPER OXY CHLORIDE BLITOX 600 GRAMS PER ACRE 30933134311431203149 3078309331493128313630933149312231473120314431053149 3116314931223144310331343093314931283149  308630933120313430933137 600 30953149312031343118313731223137 200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",16.6443,81.5885
GAMPALAGUDEM,Cereals,2013,10,23,"Paddy Dhan",KRISHNA,nan,nan,AGRICULTURE,"ANDHRA PRADESH","false smut","CARBENDAZIM BAVISTIN DEROSAL CARBENDAZIM 200 GRAMS PER ACRE   30933134312031493116314230743105310031353074 3116313431253135312831493103313531123149  31053143312031473128313431223149 30933134312031493116314230743105310031353074    308630933120313430933137 200 30953149312031343118313731223137 200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",16.2128,81.0307
JAGGAYYAPETA,Cereals,2013,11,4,"Paddy Dhan",KRISHNA,nan,nan,AGRICULTURE,"ANDHRA PRADESH","false smut","COPPER OXY CHLORIDE BLITOX 600 GRAMS PER ACRE 30933134311431203149 3078309331493128313630933149312231473120314431053149 3116314931223144310331343093314931283149  308630933120313430933137 600 30953149312031343118313731223137 200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",16.2128,81.0307
