BlockName,Category,Year,Month,Day,Crop,DistrictName,QueryType,Season,Sector,StateName,QueryText,KccAns,latitude,longitude
SRIKAKULAM,Cereals,2013,9,4,"Paddy Dhan",SRIKAKULAM,nan,nan,AGRICULTURE,"ANDHRA PRADESH","sheath blight and rots","MANCOZEB DITHANE M-45 INDOFIL M-45 MANJET  500-600 GRAMS  PER ACRE 31183134o309331463100314231163149 310531443109314231123149 M -45 30793074310531473115313531223149 M-45 3118313430743100314331033149  308630933120313430933137 500-600 30953149312031343118313731223137  200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135 CARBENDAZIM BAVISTIN DEROSAL CARBENDAZIM 200 GRAMS PER ACRE   30933134312031493116314230743105310031353074 3116313431253135312831493103313531123149  31053143312031473128313431223149 30933134312031493116314230743105310031353074    308630933120313430933137 200 30953149312031343118313731223137 200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",18.2949,83.8939
PALAKONDA,Cereals,2013,9,19,"Paddy Dhan",SRIKAKULAM,nan,nan,AGRICULTURE,"ANDHRA PRADESH","rice sheath blight","HEXACONAZOLECONTAF ANVIL  400 ML PER ACRE  3129314230933149312831343093314631123100314731223149  309331343074310331153149  307731123125313531223149    30863093312031343112313530933135 400 30873074 308631223149  200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",18.2949,83.8939
KOTTURU,Cereals,2013,9,25,"Paddy Dhan",SRIKAKULAM,nan,nan,AGRICULTURE,"ANDHRA PRADESH","sheath blight and rots","SAF 3g lit water",18.2949,83.8939
TEKKALI,Cereals,2013,11,5,"Paddy Dhan",SRIKAKULAM,nan,nan,AGRICULTURE,"ANDHRA PRADESH","paddy sheath blight","applud300mlacre propiconazoe 2mlli",18.2949,83.8939
GAJAPATHINAGARAM,Cereals,2013,9,15,"Paddy Dhan",VIZIANAGARM,"Plant Protection",nan,AGRICULTURE,"ANDHRA PRADESH","sheath blight","kittazin 200ml per acre",15.9241,80.1864
JIYYAMMAVALASA,Cereals,2013,9,28,"Paddy Dhan",VIZIANAGARM,nan,nan,AGRICULTURE,"ANDHRA PRADESH","sheath blight","PROPICONAZOLE TILT RADAR  200 ML PER ACRE",15.9241,80.1864
GAJAPATHINAGARAM,Cereals,2013,9,28,"Paddy Dhan",VIZIANAGARM,nan,nan,AGRICULTURE,"ANDHRA PRADESH","sheath blight and rots","spraying carbondysm 1gmltr           bavistin3093313431203149311631430310531343100313531183149 13095314931203134311831373122313731223136 311231363103313531223147 31143135309831353093313431203136 309831433119313431223135",15.9241,80.1864
GAJAPATHINAGARAM,Cereals,2013,9,28,"Paddy Dhan",VIZIANAGARM,nan,nan,AGRICULTURE,"ANDHRA PRADESH","sheath blight","spraying propikonozol 200mlacre3114314931203146311431353093314631123100314731223149 200311831363122313630863093312031343112313530933135 31143135309831353093313431203136 309831433119313431223135",15.9241,80.1864
GARUGUBILLI,Cereals,2013,10,4,"Paddy Dhan",VIZIANAGARM,nan,nan,AGRICULTURE,"ANDHRA PRADESH","sheath blight","spraying propikonozol 200mlacre3114314931203146311431353093314631123100314731223149 200311831363122313630863093312031343112313530933135 31143135309831353093313431203136 309831433119313431223135",15.9241,80.1864
BHOGHAPURAM,Cereals,2013,11,28,"Paddy Dhan",VIZIANAGARM,nan,nan,AGRICULTURE,"ANDHRA PRADESH","sheath blight","PROPICONAZOLE TILT RADAR  200 ML PER ACRE  3114314931203146311431353093314631123100314731223149 310331353122314931033149 312031343105313431203149   30863093312031343112313530933135 200 30873074 308631223149  200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",15.9241,80.1864
BHEEMUNIPATNAM,Cereals,2013,9,19,"Paddy Dhan",VISAKHAPATNAM,nan,nan,AGRICULTURE,"ANDHRA PRADESH","sheath blight and rots","spraying copar oxychloride 3grmsltr30933134311431203149 3078309331493128313630933149312231473120314431053149 3 3095314931203134311831373122313731223136 311231363103313531223147 31143135309831353093313431203136 309831433119313431223135",17.6936,83.2921
DEVARAPALLE,Cereals,2013,10,3,"Paddy Dhan",VISAKHAPATNAM,nan,nan,AGRICULTURE,"ANDHRA PRADESH","sheath blight","kitazin 200ml per acre",17.6936,83.2921
MUNAGAPAKA,Cereals,2013,10,17,"Paddy Dhan",VISAKHAPATNAM,nan,nan,AGRICULTURE,"ANDHRA PRADESH","paddy sheath blight",hexaconazole2mlli,17.6936,83.2921
THALLAREVU,Cereals,2013,9,6,"Paddy Dhan","EAST GODAVARI",nan,nan,AGRICULTURE,"ANDHRA PRADESH","sheath blight","PROPICONAZOLE TILT RADAR  200 ML PER ACRE",16.9957,81.7154
KORUKONDA,Cereals,2013,9,11,"Paddy Dhan","EAST GODAVARI",nan,nan,AGRICULTURE,"ANDHRA PRADESH","SHEATH BLIGHT","PROPICONAZOLE TILT RADAR  200 ML PER ACRE",16.9957,81.7154
SAMALKOTA,Cereals,2013,9,14,"Paddy Dhan","EAST GODAVARI",nan,nan,AGRICULTURE,"ANDHRA PRADESH","rice sheath blight",propiconazole1mlli,16.9957,81.7154
GOKAVARAM,Cereals,2013,9,24,"Paddy Dhan","EAST GODAVARI",nan,nan,AGRICULTURE,"ANDHRA PRADESH","sheath blight","HEXACONAZOLECONTAF ANVIL  400 ML PER ACRE  3129314230933149312831343093314631123100314731223149  309331343074310331153149  307731123125313531223149    30863093312031343112313530933135 400 30873074 308631223149  200 3122313631033120314931223137 311231363103313531223147 30933122313531143135 31143135309831343093313431203135 309831433119313431223135",16.9957,81.7154
GANDEPALLE,Cereals,2013,9,25,"Paddy Dhan","EAST GODAVARI",nan,nan,AGRICULTURE,"ANDHRA PRADESH","sheath blight","kitazin 200ml per acre",16.9957,81.7154
GANDEPALLE,Cereals,2013,9,30,"Paddy Dhan","EAST GODAVARI",nan,nan,AGRICULTURE,"ANDHRA PRADESH","paddy sheath blight","propiconazole 1mlli trycyclazole 06gmli",16.9957,81.7154
PEDDAPURAM,Cereals,2013,10,19,"Paddy Dhan","EAST GODAVARI",nan,nan,AGRICULTURE,"ANDHRA PRADESH","paddy sheath blight","propiconazole 2mlli",16.9957,81.7154
